Application ID,mohela_clid,Application_date,Loan Amount,Closing_date,Schedule_funding_date,Stage,Loan_Type,Term,Rate Type,Undiscounted Rate,disbursement_1,disbursement_1_date,disbursement_2,disbursement_2_date,disbursement_3,disbursement_3_date,disbursement_4,disbursement_4_date
220676P1,220676P1,05/02/2019,163683.09,05/14/2019,05/14/2019,Closed,Refi,15,Fixed,5.27,,,,,,,,
220681,220681,05/02/2019,142331.5,05/13/2019,05/13/2019,Closed,Refi,7,Fixed,4.5,,,,,,,,
220682,220682,05/02/2019,154937.48,05/16/2019,05/16/2019,Closed,Refi,5,Variable,2.75,,,,,,,,
220677,220677,05/02/2019,204996.12,05/20/2019,05/20/2019,Closed,Refi,7,Fixed,4.71,,,,,,,,
220687,220687,05/02/2019,55975.72,06/17/2019,06/17/2019,Closed,Refi,10,Fixed,5.34,,,,,,,,
220693,220693,05/02/2019,93052.6,05/15/2019,05/15/2019,Closed,Refi,10,Fixed,4.92,,,,,,,,
220704,220704,05/02/2019,24355.93,06/12/2019,06/12/2019,Closed,Refi,20,Fixed,6.13,,,,,,,,
220708,220708,05/02/2019,82660,05/23/2019,05/23/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
220725,220725,05/02/2019,25503.78,05/09/2019,05/09/2019,Closed,Refi,20,Fixed,6.76,,,,,,,,
220741,220741,05/02/2019,133556.23,05/10/2019,05/10/2019,Closed,Refi,15,Fixed,5.27,,,,,,,,
220749,220749,05/02/2019,128460.41,05/15/2019,05/15/2019,Closed,Refi,20,Fixed,5.69,,,,,,,,
220751,220751,05/02/2019,92361.72,05/17/2019,05/17/2019,Closed,Refi,20,Fixed,6.76,,,,,,,,
220676P2,220676P2,05/02/2019,163683.09,05/14/2019,05/14/2019,Closed,Refi,15,Fixed,5.27,,,,,,,,
220571P2,220571P2,05/02/2019,198761.92,05/20/2019,05/20/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
220512,220512,05/02/2019,71864.16,06/04/2019,06/04/2019,Closed,Refi,7,Fixed,4.76,,,,,,,,
220515P1,220515P1,05/02/2019,176773.96,06/20/2019,06/20/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
220585,220585,05/02/2019,72161.84,06/03/2019,06/03/2019,Closed,Refi,5,Fixed,4.81,,,,,,,,
220633,220633,05/02/2019,264414.25,05/15/2019,05/15/2019,Closed,Refi,5,Fixed,3.75,,,,,,,,
220658,220658,05/02/2019,33862.27,06/11/2019,06/11/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
220717,220717,05/02/2019,123760.95,05/21/2019,05/21/2019,Closed,Refi,7,Fixed,5.55,,,,,,,,
220515P3,220515P3,05/02/2019,176773.97,06/20/2019,06/20/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
220568P1,220568P1,05/02/2019,137658.79,05/24/2019,05/24/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
220591,220591,05/02/2019,131592.36,05/09/2019,05/09/2019,Closed,Refi,20,Fixed,5.71,,,,,,,,
220617,220617,05/02/2019,43178.19,05/13/2019,05/13/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
220642,220642,05/02/2019,166146,05/09/2019,05/09/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
220568P2,220568P2,05/02/2019,137658.79,05/24/2019,05/24/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
220568P3,220568P3,05/02/2019,137658.79,05/24/2019,05/24/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
220515P2,220515P2,05/02/2019,176773.96,06/20/2019,06/20/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
220773,220773,05/03/2019,118750,06/20/2019,06/20/2019,Closed,Refi,5,Variable,2.68,,,,,,,,
5002101579D01,,05/03/2019,70000,,,Applied,In-School,,,,,,,,,,,
5002101912D01,,05/03/2019,99999,,,Applied,In-School,,,,,,,,,,,
220780,220780,05/03/2019,51228.1,05/10/2019,05/10/2019,Closed,Refi,20,Fixed,5.71,,,,,,,,
220801,220801,05/03/2019,34998.18,06/21/2019,06/21/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
220806,220806,05/03/2019,92086.64,05/23/2019,05/23/2019,Closed,Refi,5,Fixed,5.13,,,,,,,,
220829,220829,05/03/2019,208000,05/17/2019,05/17/2019,Closed,Refi,5,Fixed,4.46,,,,,,,,
220835,220835,05/03/2019,143972.83,06/05/2019,06/05/2019,Closed,Refi,7,Fixed,4.5,,,,,,,,
220841,220841,05/03/2019,30214.71,05/24/2019,05/24/2019,Closed,Refi,10,Fixed,4.55,,,,,,,,
220854,220854,05/03/2019,69658.12,05/23/2019,05/23/2019,Closed,Refi,7,Fixed,5.13,,,,,,,,
220856,220856,05/03/2019,57000,06/04/2019,06/04/2019,Closed,Refi,10,Fixed,5.13,,,,,,,,
220871,220871,05/03/2019,40150.91,05/20/2019,05/20/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
220887,220887,05/03/2019,43858.93,06/05/2019,06/05/2019,Closed,Refi,15,Fixed,5.27,,,,,,,,
220904,220904,05/03/2019,28100.68,05/10/2019,05/10/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
220915,220915,05/03/2019,94709.05,06/28/2019,06/28/2019,Closed,Refi,5,Fixed,3.75,,,,,,,,
220936,220936,05/03/2019,47352.39,05/15/2019,05/15/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
5002102163AMB3,5002102163AMB3,05/03/2019,16353,07/08/2019,,Closed,In-School,10,Fixed,5.5,,7/8/19,,,,,,
220824P3,220824P3,05/03/2019,169111.55,05/14/2019,05/14/2019,Closed,Refi,10,Fixed,4.88,,,,,,,,
220774,220774,05/03/2019,25431.09,05/09/2019,05/09/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
220783,220783,05/03/2019,22514.64,05/13/2019,05/13/2019,Closed,Refi,7,Fixed,4.5,,,,,,,,
220789,220789,05/03/2019,34028.71,05/13/2019,05/13/2019,Closed,Refi,10,Fixed,5.13,,,,,,,,
220795,220795,05/03/2019,26861.1,05/16/2019,05/16/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
220807,220807,05/03/2019,139479.92,06/12/2019,06/12/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
220810,220810,05/03/2019,98424.57,05/14/2019,05/14/2019,Closed,Refi,5,Fixed,4.29,,,,,,,,
220824P1,220824P1,05/03/2019,169111.54,05/14/2019,05/14/2019,Closed,Refi,10,Fixed,4.88,,,,,,,,
220842,220842,05/03/2019,51995.91,05/24/2019,05/24/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
